Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
sroC,-,685904,686066,,,,,,,,,
gltI,-,686062,686970,,,,,,,,,
insH-3,-,687220,688236,,,,,,,,,
lnt,-,688566,690104,,,,,,,,,
ybeX,-,690129,691007,,,,,,,,,
ybeY,-,691097,691564,,,,,,,,,
ybeZ,-,691561,692640,,,,,,,,,
miaB,-,692754,694178,,,,,,,,,
ubiF,+,694324,695499,,,,,,,,,
glnX,-,695653,695727,,,,,,,,,
glnV,-,695765,695839,,,,,,,,,
metU,-,695887,695963,,,,,,,,,
glnW,-,695979,696053,,,,,,,,,
glnU,-,696088,696162,,,,,,,,,
leuW,-,696186,696270,,,,,,,,,
metT,-,696280,696356,,,,,,,,,
asnB,-,696736,698400,,,,,,,,,
umpH,-,698797,699549,,,,,,,,,
nagC,-,699597,700817,,,,,,,,,
nagA,-,700826,701974,,,,,,,,,
nagB,-,702034,702834,,,,,,,,,
nagE,+,703167,705113,,,,,,,,,
glnS,+,705316,706980,,,,,,,,,
chiP,+,707557,708963,,,,,,,,,
ybfN,+,709013,709339,,,,,,,,,
fur,-,709423,709869,,,,,,,,,
uof,-,709862,709948,,,,,,,,,
fldA,-,710158,710688,,,,,,,,,
ybfE,-,710828,711121,,,,,,,,,
ybfF,-,711261,712025,,,,,,,,,
seqA,+,712210,712755,,,,,,,,,
pgm,+,712781,714421,,,,,,,,,
ybfP,+,714635,715129,,,,,,,,,
potE,-,716169,717488,,,,,,,,,
speF,-,717485,719683,,,,,,,,,
ybfK,+,719806,720063,,,,,,,,,
kdpE,-,720279,720956,,,,,,,,,
kdpD,-,720953,723637,,,,,,,,,
kdpC,-,723630,724202,,,,,,,,,
kdpB,-,724211,726259,,,,,,,,,
kdpA,-,726282,727955,,,,,,,,,
kdpF,-,727955,728044,,,,,,,,,
ybfA,+,728357,728563,,,,,,,,,
rhsC,+,728806,732999,,,,,,,,,
ybfB,+,732999,733325,,,,,,,,,
ybfC,+,734873,735442,,,,,,,,,
ybfQ,+,735668,735922,,,,,,,,,
ybfL,+,736123,737184,,,,,,,,,
ybfD,+,737315,738076,,,,,,,,,
ybgA,+,738224,738733,,,,,,,,,
phr,+,738730,740148,,,,,,,,,
dtpD,-,740298,741779,,,,,,,,,
ybgI,+,742050,742793,,,,,,,,,
ybgJ,+,742816,743472,,,,,,,,,
ybgK,+,743466,744398,,,,,,,,,
ybgL,+,744388,745122,,,,,,,,,
nei,+,745158,745949,,,,,,,,,
abrB,-,745946,746992,,,,,,,,,
ybgO,-,747144,748205,,,,,,,,,
ybgP,-,748202,748930,,,,,,,,,
ybgQ,-,748945,751392,,,,,,,,,
ybgD,-,751452,752018,,,,,,,,,
gltA,-,752408,753691,,,,,,,,,
sdhC,+,754400,754789,,,,,,,,,
sdhD,+,754783,755130,,,,,,,,,
sdhA,+,755130,756896,,,,,,,,,
sdhB,+,756912,757628,,,,,,,,,
sucA,+,757929,760730,,,,,,,,,
sucB,+,760745,761962,,,,,,,,,
sucC,+,762237,763403,,,,,,,,,
sucD,+,763403,764272,,,,,,,,,
mngR,-,764376,765098,,,,,,,,,
mngA,+,765207,767183,,,,,,,,,
mngB,+,767201,769834,,,,,,,,,
cydA,+,770681,772249,,,,,,,,,
cydB,+,772265,773404,,,,,,,,,
cydX,+,773419,773532,,,,,,,,,
ybgE,+,773532,773825,,,,,,,,,
ybgC,+,773975,774379,,,,,,,,,
tolQ,+,774376,775068,,,,,,,,,
tolR,+,775072,775500,,,,,,,,,
tolA,+,775565,776830,,,,,,,,,
tolB,+,776963,778255,,,,,,,,,
pal,+,778290,778811,,,,,,,,,
cpoB,+,778821,779612,,,,,,,,,
lysT,+,779777,779852,,,,,,,,,
valT,+,779988,780063,,,,,,,,,
lysW,+,780066,780141,,,,,,,,,
valZ,+,780291,780366,,,,,,,,,
lysY,+,780370,780445,,,,,,,,,
lysZ,+,780592,780667,,,,,,,,,
lysQ,+,780800,780875,,,,,,,,,
nadA,+,781308,782351,,,,,,,,,
pnuC,+,782389,783108,,,,,,,,,
zitB,-,783105,784046,,,,,,,,,
ybgS,-,784160,784540,,,,,,,,,
aroG,+,784856,785908,,,,,,,,,
gpmA,-,786066,786818,,,,,,,,,
galM,-,787020,788060,,,,,,,,,
galK,-,788054,789202,,,,,,,,,
galT,-,789206,790252,,,,,,,,,
galE,-,790262,791278,,,,,,,,,
modF,-,791539,793011,,,,,,,,,
modE,-,793079,793867,,,,,,,,,
acrZ,+,793996,794145,,,,,,,,,
modA,+,794312,795085,,,,,,,,,
modB,+,795085,795774,,,,,,,,,
modC,+,795777,796835,,,,,,,,,
ybhA,-,796836,797654,,,,,,,,,
pgl,+,797809,798804,,,,,,,,,
ybhD,-,798845,799861,,,,,,,,,
ybhH,+,799982,801034,,,,,,,,,
ybhI,+,801110,802543,,,,,,,,,
ybhJ,+,802726,804987,,,,,,,,,
ybhC,-,805221,806504,,,,,,,,,
ybhB,-,806656,807132,,,,,,,,,
bioA,-,807191,808480,,,,,,,,,
bioB,+,808567,809607,,,,,,,,,
bioF,+,809604,810758,,,,,,,,,
bioC,+,810745,811500,,,,,,,,,
bioD,+,811493,812170,,,,,,,,,
uvrB,+,812749,814770,,,,,,,,,
ybhK,-,814962,815870,,,,,,,,,
moaA,+,816267,817256,,,,,,,,,
moaB,+,817278,817790,,,,,,,,,
moaC,+,817793,818278,,,,,,,,,
moaD,+,818271,818516,,,,,,,,,
moaE,+,818518,818970,,,,,,,,,
ybhL,+,819107,819811,,,,,,,,,
ybhM,+,820016,820729,,,,,,,,,
ybhN,-,820765,821721,,,,,,,,,
clsB,-,821721,822962,,,,,,,,,
ybhP,-,822959,823720,,,,,,,,,
ybhQ,+,823853,824263,,,,,,,,,
ybhR,-,824225,825331,,,,,,,,,
ybhS,-,825342,826475,,,,,,,,,
ybhF,-,826468,828204,,,,,,,,,
ybhG,-,828197,829195,,,,,,,,,
ybiH,-,829195,829866,,,,,,,,,
rhlE,+,830095,831459,,,,,,,,,
ybiA,-,831691,832173,,,,,,,,,
dinG,+,832293,834443,,,,,,,,,
ybiB,+,834471,835433,,,,,,,,,
ybiC,+,835574,836659,,,,,,,,,
ybiJ,-,836888,837148,,,,,,,,,
ybiI,-,837413,837679,,,,,,,,,
ybiX,-,837753,838430,,,,,,,,,
fiu,-,838472,840754,,,,,,,,,
mcbA,-,841019,841279,,,,,,,,,
rlmF,+,841555,842481,,,,,,,,,
ybiO,-,842478,844703,,,,,,,,,
glnQ,-,844964,845686,,,,,,,,,
glnP,-,845683,846342,,,,,,,,,
glnH,-,846481,847227,,,,,,,,,
dps,-,847631,848134,,,,,,,,,
rhtA,-,848433,849320,,,,,,,,,
ompX,+,849673,850188,,,,,,,,,
opgE,-,850237,851820,,,,,,,,,
rybA,-,851948,852287,,,,,,,,,
mntS,-,852092,852220,,,,,,,,,
mntR,+,852406,852873,,,,,,,,,
ybiR,+,852870,853988,,,,,,,,,
ldtB,-,854047,854967,,,,,,,,,
ybiT,+,855186,856778,,,,,,,,,
ybiU,-,857019,858284,,,,,,,,,
ybiV,-,858436,859251,,,,,,,,,
ybiW,-,859397,861829,,,,,,,,,
ybiY,-,861835,862761,,,,,,,,,
fsaA,+,862865,863527,,,,,,,,,
moeB,-,863603,864352,,,,,,,,,
moeA,-,864352,865587,,,,,,,,,
iaaA,+,865791,866756,,,,,,,,,
gsiA,+,866776,868614,,,,,,,,,
gsiB,+,868634,870172,,,,,,,,,
gsiC,+,870190,871110,,,,,,,,,
gsiD,+,871113,872024,,,,,,,,,
yliE,+,872202,874550,,,,,,,,,
yliF,+,874558,875886,,,,,,,,,
rimO,-,875933,877258,,,,,,,,,
bssR,+,877471,877854,,,,,,,,,
yliI,+,877965,879080,,,,,,,,,
gstB,-,879077,879703,,,,,,,,,
dacC,+,879950,881152,,,,,,,,,
deoR,-,881199,881957,,,,,,,,,
ybjG,-,882015,882611,,,,,,,,,
mdfA,+,882896,884128,,,,,,,,,
ybjH,-,884169,884453,,,,,,,,,
ybjI,-,884539,885354,,,,,,,,,
ybjJ,-,885354,886562,,,,,,,,,
rcdA,+,886646,887182,,,,,,,,,
rybB,-,887200,887280,,,,,,,,,
ybjL,-,887357,889042,,,,,,,,,
ybjM,+,889312,889689,,,,,,,,,
grxA,-,889719,889976,,,,,,,,,
ybjC,+,890136,890423,,,,,,,,,
nfsA,+,890407,891129,,,,,,,,,
rimK,+,891190,892092,,,,,,,,,
ybjN,+,892180,892656,,,,,,,,,
potF,+,893007,894119,,,,,,,,,
potG,+,894214,895347,,,,,,,,,
potH,+,895357,896310,,,,,,,,,
potI,+,896307,897152,,,,,,,,,
ybjO,+,897212,897700,,,,,,,,,
rlmC,+,897741,898868,,,,,,,,,
artJ,-,899067,899798,,,,,,,,,
artM,-,900089,900757,,,,,,,,,
artQ,-,900757,901473,,,,,,,,,
artI,-,901480,902211,,,,,,,,,
artP,-,902229,902957,,,,,,,,,
ybjP,-,903175,903690,,,,,,,,,
ybjQ,+,903816,904139,,,,,,,,,
amiD,+,904136,904966,,,,,,,,,
ybjS,-,904963,905976,,,,,,,,,
ybjT,-,906075,907505,,,,,,,,,
ltaE,-,907516,908517,,,,,,,,,
poxB,-,908554,910272,,,,,,,,,
hcr,-,910405,911373,,,,,,,,,
hcp,-,911385,913037,,,,,,,,,
lysO,-,913181,914080,,,,,,,,,
aqpZ,-,914575,915270,,,,,,,,,
ybjD,+,915696,917354,,,,,,,,,
ybjX,-,917351,918307,,,,,,,,,
macA,+,918458,919573,,,,,,,,,
macB,+,919570,921516,,,,,,,,,
cspD,-,921589,921813,,,,,,,,,
clpS,+,922136,922456,,,,,,,,,
clpA,+,922487,924763,,,,,,,,,
serW,-,925107,925194,,,,,,,,,
infA,-,925448,925666,,,,,,,,,
aat,-,925951,926655,,,,,,,,,
cydC,-,926697,928418,,,,,,,,,
cydD,-,928419,930185,,,,,,,,,
trxB,-,930308,931273,,,,,,,,,
lrp,+,931818,932312,,,,,,,,,
ftsK,+,932447,936436,,,,,,,,,
lolA,+,936592,937206,,,,,,,,,
rarA,+,937217,938560,,,,,,,,,
serS,+,938651,939943,,,,,,,,,
dmsA,+,940182,942626,,,,,,,,,
dmsB,+,942637,943254,,,,,,,,,
dmsC,+,943256,944119,,,,,,,,,
ycaC,-,944154,944780,,,,,,,,,
ycaD,+,945094,946242,,,,,,,,,
ycaM,+,946452,947882,,,,,,,,,
ycaN,-,947883,948791,,,,,,,,,
ycaK,+,948891,949481,,,,,,,,,
pflA,-,949563,950303,,,,,,,,,
pflB,-,950495,952777,,,,,,,,,
focA,-,952832,953689,,,,,,,,,
ycaO,-,954095,955855,,,,,,,,,
ycaP,+,955985,956677,,,,,,,,,
serC,+,956876,957964,,,,,,,,,
aroA,+,958035,959318,,,,,,,,,
ycaL,+,959487,960251,,,,,,,,,
cmk,+,960424,961107,,,,,,,,,
rpsA,+,961218,962891,,,,,,,,,
ihfB,+,963051,963335,,,,,,,,,
ycaI,+,963543,965807,,,,,,,,,
msbA,+,965844,967592,,,,,,,,,
lpxK,+,967589,968575,,,,,,,,,
ycaQ,+,968612,969844,,,,,,,,,
ycaR,+,969896,970078,,,,,,,,,
kdsB,+,970075,970821,,,,,,,,,
ycbJ,+,970975,971868,,,,,,,,,
elyC,-,971845,972624,,,,,,,,,
smtA,+,972760,973545,,,,,,,,,
mukF,+,973542,974864,,,,,,,,,
mukE,+,974872,975549,,,,,,,,,
mukB,+,975549,980009,,,,,,,,,
ldtD,+,980270,982117,,,,,,,,,
ycbK,+,982298,982846,,,,,,,,,
gloC,+,982873,983520,,,,,,,,,
aspC,-,983742,984932,,,,,,,,,
ompF,-,985117,986205,,,,,,,,,
asnS,-,986808,988208,,,,,,,,,
pncB,-,988377,989579,,,,,,,,,
pepN,+,989845,992457,,,,,,,,,
ssuB,-,992500,993267,,,,,,,,,
ssuC,-,993264,994055,,,,,,,,,
ssuD,-,994066,995211,,,,,,,,,
ssuA,-,995208,996167,,,,,,,,,
ssuE,-,996160,996735,,,,,,,,,
elfA,+,997091,997630,,,,,,,,,
elfD,+,997713,998414,,,,,,,,,
elfC,+,998439,1001039,,,,,,,,,
elfG,+,1001030,1002100,,,,,,,,,
ycbU,+,1002112,1002654,,,,,,,,,
ycbV,+,1002662,1003177,,,,,,,,,
ycbF,+,1003170,1003880,,,,,,,,,
pyrD,+,1003991,1005001,,,,,,,,,
zapC,+,1005175,1005717,,,,,,,,,
ycbX,-,1005714,1006823,,,,,,,,,
rlmL,+,1007067,1009175,,,,,,,,,
uup,+,1009187,1011094,,,,,,,,,
pqiA,+,1011224,1012477,,,,,,,,,
pqiB,+,1012482,1014122,,,,,,,,,
ymbA,+,1014134,1014682,,,,,,,,,
rmf,+,1014938,1015105,,,,,,,,,
fabA,-,1015175,1015693,,,,,,,,,
ycbZ,-,1015762,1017522,,,,,,,,,
matP,+,1017708,1018160,,,,,,,,,
ompA,-,1018236,1019276,,,,,,,,,
sulA,-,1019633,1020142,,,,,,,,,
sxy,+,1020361,1020990,,,,,,,,,
yccS,-,1020953,1023106,,,,,,,,,
yccF,-,1023125,1023571,,,,,,,,,
helD,+,1023694,1025748,,,,,,,,,
mgsA,-,1025780,1026238,,,,,,,,,
yccT,-,1026334,1026996,,,,,,,,,
yccU,+,1027169,1027582,,,,,,,,,
hspQ,-,1027627,1027944,,,,,,,,,
rlmI,-,1028002,1029192,,,,,,,,,
yccX,+,1029287,1029565,,,,,,,,,
tusE,-,1029562,1029891,,,,,,,,,
yccA,-,1029982,1030641,,,,,,,,,
serT,-,1030848,1030935,,,,,,,,,
hyaA,+,1031362,1032480,,,,,,,,,
hyaB,+,1032477,1034270,,,,,,,,,
hyaC,+,1034289,1034996,,,,,,,,,
hyaD,+,1034993,1035580,,,,,,,,,
hyaE,+,1035577,1035975,,,,,,,,,
hyaF,+,1035972,1036829,,,,,,,,,
appC,+,1036963,1038507,,,,,,,,,
appB,+,1038519,1039655,,,,,,,,,
appX,+,1039668,1039760,,,,,,,,,
appA,+,1039840,1041138,,,,,,,,,
etk,-,1041253,1043433,,,,,,,,,
etp,-,1043453,1043899,,,,,,,,,
gfcE,-,1043887,1045026,,,,,,,,,
gfcD,-,1045072,1047168,,,,,,,,,
gfcC,-,1047168,1047914,,,,,,,,,
gfcB,-,1047911,1048555,,,,,,,,,
gfcA,-,1048662,1048967,,,,,,,,,
insAB-4,+,1049056,1049753,,,,,,,,,
insA-4,+,1049056,1049331,,,,,,,,,
insB-4,+,1049250,1049753,,,,,,,,,
cspH,-,1050186,1050398,,,,,,,,,
cspG,+,1050684,1050896,,,,,,,,,
ymcE,+,1051070,1051300,,,,,,,,,
gnsA,+,1051290,1051463,,,,,,,,,
yccM,-,1051512,1052585,,,,,,,,,
torS,-,1052657,1055401,,,,,,,,,
torT,+,1055484,1056512,,,,,,,,,
torR,-,1056485,1057177,,,,,,,,,
torC,+,1057307,1058479,,,,,,,,,
torA,+,1058479,1061025,,,,,,,,,
torD,+,1061022,1061621,,,,,,,,,
cbpM,-,1061773,1062078,,,,,,,,,
cbpA,-,1062078,1062998,,,,,,,,,
yccE,+,1063259,1064515,,,,,,,,,
agp,+,1064808,1066049,,,,,,,,,
yccJ,-,1066087,1066314,,,,,,,,,
wrbA,-,1066335,1066931,,,,,,,,,
ymdF,+,1067304,1067477,,,,,,,,,
rutG,-,1067734,1069062,,,,,,,,,
rutF,-,1069083,1069577,,,,,,,,,
rutE,-,1069588,1070178,,,,,,,,,
rutD,-,1070188,1070988,,,,,,,,,
rutC,-,1070996,1071382,,,,,,,,,
rutB,-,1071394,1072086,,,,,,,,,
rutA,-,1072086,1073234,,,,,,,,,
rutR,+,1073465,1074103,,,,,,,,,
putA,-,1074143,1078105,,,,,,,,,
putP,+,1078528,1080036,,,,,,,,,
efeU_1,+,1080579,1080689,,,,,,,,,
efeO,+,1081466,1082593,,,,,,,,,
efeB,+,1082599,1083870,,,,,,,,,
phoH,+,1084215,1085279,,,,,,,,,
pgaD,-,1085329,1085742,,,,,,,,,
pgaC,-,1085744,1087069,,,,,,,,,
pgaB,-,1087062,1089080,,,,,,,,,
pgaA,-,1089089,1091512,,,,,,,,,
ycdT,+,1092099,1093457,,,,,,,,,
insF-4,-,1093498,1094364,,,,,,,,,
insEF-4,-,1093498,1094669,,,,,,,,,
insE-4,-,1094361,1094669,,,,,,,,,
ycdU,+,1095066,1096052,,,,,,,,,
serX,-,1096788,1096875,,,,,,,,,
ghrA,+,1097109,1098047,,,,,,,,,
ycdX,+,1098102,1098839,,,,,,,,,
ycdY,+,1098863,1099417,,,,,,,,,
ycdZ,+,1099519,1100010,,,,,,,,,
csgG,-,1100074,1100907,,,,,,,,,
csgF,-,1100934,1101350,,,,,,,,,
csgE,-,1101375,1101764,,,,,,,,,
csgD,-,1101769,1102419,,,,,,,,,
csgB,+,1103174,1103629,,,,,,,,,
csgA,+,1103670,1104125,,,,,,,,,
csgC,+,1104184,1104516,,,,,,,,,
ymdA,+,1104637,1104948,,,,,,,,,
ymdB,+,1105043,1105576,,,,,,,,,
clsC,+,1105578,1106999,,,,,,,,,
opgC,-,1107007,1108164,,,,,,,,,
opgG,+,1108558,1110093,,,,,,,,,
opgH,+,1110086,1112629,,,,,,,,,
yceK,+,1112802,1113029,,,,,,,,,
msyB,-,1113030,1113404,,,,,,,,,
mdtG,-,1113487,1114713,,,,,,,,,
lpxL,-,1114885,1115805,,,,,,,,,
yceA,+,1116030,1117082,,,,,,,,,
yceI,-,1117124,1117699,,,,,,,,,
yceJ,-,1117703,1118269,,,,,,,,,
yceO,-,1118530,1118670,,,,,,,,,
solA,-,1118691,1119809,,,,,,,,,
bssS,-,1119924,1120178,,,,,,,,,
dinI,-,1120465,1120710,,,,,,,,,
pyrC,-,1120784,1121830,,,,,,,,,
yceB,-,1121936,1122496,,,,,,,,,
grxB,-,1122630,1123277,,,,,,,,,
mdtH,-,1123341,1124549,,,,,,,,,
rimJ,+,1124785,1125369,,,,,,,,,
yceH,+,1125380,1126027,,,,,,,,,
yceM,+,1126029,1126952,,,,,,,,,
murJ,+,1127062,1128597,,,,,,,,,
flgN,-,1128637,1129053,,,,,,,,,
flgM,-,1129058,1129351,,,,,,,,,
flgA,-,1129427,1130086,,,,,,,,,
flgB,+,1130241,1130657,,,,,,,,,
flgC,+,1130661,1131065,,,,,,,,,
flgD,+,1131077,1131772,,,,,,,,,
flgE,+,1131797,1133005,,,,,,,,,
flgF,+,1133025,1133780,,,,,,,,,
flgG,+,1133952,1134734,,,,,,,,,
flgH,+,1134787,1135485,,,,,,,,,
flgI,+,1135497,1136594,,,,,,,,,
flgJ,+,1136594,1137535,,,,,,,,,
flgK,+,1137601,1139244,,,,,,,,,
flgL,+,1139256,1140209,,,,,,,,,
rne,-,1140405,1143590,,,,,,,,,
yceQ,+,1143725,1144045,,,,,,,,,
rluC,+,1144163,1145122,,,,,,,,,
yceF,-,1145234,1145818,,,,,,,,,
sraB,+,1145812,1145980,,,,,,,,,
yceD,+,1146017,1146538,,,,,,,,,
rpmF,+,1146590,1146763,,,,,,,,,
plsX,+,1146844,1147914,,,,,,,,,
fabH,+,1147982,1148935,,,,,,,,,
fabD,+,1148951,1149880,,,,,,,,,
fabG,+,1149893,1150627,,,,,,,,,
acpP,+,1150838,1151074,,,,,,,,,
fabF,+,1151162,1152403,,,,,,,,,
pabC,+,1152523,1153332,,,,,,,,,
yceG,+,1153335,1154357,,,,,,,,,
tmk,+,1154347,1154988,,,,,,,,,
holB,+,1154985,1155989,,,,,,,,,
ycfH,+,1156000,1156797,,,,,,,,,
ptsG,+,1157092,1158525,,,,,,,,,
fhuE,-,1158585,1160774,,,,,,,,,
hinT,+,1161108,1161467,,,,,,,,,
ycfL,+,1161470,1161847,,,,,,,,,
lpoB,+,1161861,1162502,,,,,,,,,
thiK,+,1162483,1163307,,,,,,,,,
nagZ,+,1163318,1164343,,,,,,,,,
ycfP,+,1164366,1164908,,,,,,,,,
ndh,+,1165308,1166612,,,,,,,,,
ycfJ,+,1166822,1167361,,,,,,,,,
comR,-,1167423,1168055,,,,,,,,,
bhsA,+,1168296,1168553,,,,,,,,,
ldtC,-,1168635,1169597,,,,,,,,,
mfd,-,1169741,1173187,,,,,,,,,
ycfT,-,1173315,1174388,,,,,,,,,
lolC,+,1174650,1175849,,,,,,,,,
lolD,+,1175842,1176543,,,,,,,,,
lolE,+,1176543,1177787,,,,,,,,,
nagK,+,1177816,1178727,,,,,,,,,
cobB,+,1178743,1179582,,,,,,,,,
ycfZ,-,1179702,1180490,,,,,,,,,
ymfA,-,1180487,1180948,,,,,,,,,
potD,-,1181006,1182052,,,,,,,,,
potC,-,1182049,1182843,,,,,,,,,
potB,-,1182840,1183667,,,,,,,,,
potA,-,1183681,1184817,,,,,,,,,
pepT,+,1185067,1186293,,,,,,,,,
roxA,-,1186342,1187463,,,,,,,,,
phoQ,-,1187539,1188999,,,,,,,,,
phoP,-,1188999,1189670,,,,,,,,,
purB,-,1189839,1191209,,,,,,,,,
hflD,-,1191213,1191854,,,,,,,,,
mnmA,-,1191890,1192996,,,,,,,,,
nudJ,-,1193050,1193511,,,,,,,,,
rluE,-,1193521,1194174,,,,,,,,,
icd,+,1194346,1195596,,,,,,,,,
C0293,+,1195937,1196009,,,,,,,,,
ymfD,-,1196090,1196755,,,,,,,,,
ymfE,-,1196756,1197460,,,,,,,,,
lit,+,1197918,1198811,,,,,,,,,
intE,-,1198902,1200029,,,,,,,,,
xisE,-,1200010,1200255,,,,,,,,,
ymfH,-,1200292,1200603,,,,,,,,,
ymfI,+,1200720,1201061,,,,,,,,,
ymfJ,-,1200999,1201307,,,,,,,,,
ymfK,-,1201482,1202156,,,,,,,,,
ymfT,+,1202247,1202447,,,,,,,,,
ymfL,+,1202479,1203048,,,,,,,,,
ymfM,+,1203045,1203383,,,,,,,,,
ymfN,+,1203393,1204760,,,,,,,,,
ymfR,+,1204772,1204954,,,,,,,,,
ymfO,+,1204954,1205427,,,,,,,,,
ymfP,+,1205483,1206145,,,,,,,,,
ymfQ,+,1206136,1206720,,,,,,,,,
ycfK,+,1206724,1207353,,,,,,,,,
ymfS,+,1207355,1207768,,,,,,,,,
tfaE,-,1207740,1208342,,,,,,,,,
stfE,-,1208342,1208878,,,,,,,,,
pinE,+,1208908,1209462,,,,,,,,,
mcrA,+,1209569,1210402,,,,,,,,,
iraM,-,1210903,1211226,,,,,,,,,
ycgX,-,1211926,1212330,,,,,,,,,
bluR,-,1212551,1213282,,,,,,,,,
bluF,-,1213487,1214698,,,,,,,,,
ycgZ,+,1215012,1215248,,,,,,,,,
ymgA,+,1215291,1215563,,,,,,,,,
ariR,+,1215592,1215858,,,,,,,,,
ymgC,+,1215971,1216219,,,,,,,,,
ycgG,+,1216551,1218074,,,,,,,,,
ymgF,+,1218206,1218424,,,,,,,,,
ymgD,-,1221528,1221857,,,,,,,,,
ymgG,-,1221867,1222142,,,,,,,,,
ymgI,-,1222213,1222386,,,,,,,,,
ymgJ,+,1222487,1222672,,,,,,,,,
ymgH,+,1222688,1222909,,,,,,,,,
ycgI,+,1222918,1223130,,,,,,,,,
minE,-,1223502,1223768,,,,,,,,,
minD,-,1223772,1224584,,,,,,,,,
minC,-,1224608,1225303,,,,,,,,,
ycgJ,+,1225823,1226191,,,,,,,,,
pliG,-,1226294,1226695,,,,,,,,,
ycgL,+,1226904,1227230,,,,,,,,,
ycgM,+,1227302,1227961,,,,,,,,,
ycgN,+,1228053,1228499,,,,,,,,,
hlyE,-,1228706,1229617,,,,,,,,,
C0299,+,1229852,1229930,,,,,,,,,
umuD,+,1229990,1230409,,,,,,,,,
umuC,+,1230409,1231677,,,,,,,,,
dsbB,-,1231723,1232253,,,,,,,,,
nhaB,-,1232399,1233940,,,,,,,,,
fadR,+,1234161,1234880,,,,,,,,,
ycgB,-,1234932,1236464,,,,,,,,,
dadA,+,1236794,1238092,,,,,,,,,
dadX,+,1238102,1239172,,,,,,,,,
cvrA,-,1239558,1241294,,,,,,,,,
ldcA,-,1241389,1242303,,,,,,,,,
emtA,+,1242403,1243014,,,,,,,,,
ycgR,-,1243016,1243750,,,,,,,,,
ymgE,+,1243951,1244205,,,,,,,,,
ycgY,+,1244383,1244823,,,,,,,,,
treA,-,1244902,1246599,,,,,,,,,
dhaM,-,1246919,1248337,,,,,,,,,
dhaL,-,1248348,1248980,,,,,,,,,
dhaK,-,1248991,1250061,,,,,,,,,
dhaR,+,1250289,1252208,,,,,,,,,
ycgV,-,1252308,1255175,,,,,,,,,
ychF,-,1255944,1257035,,,,,,,,,
pth,-,1257152,1257736,,,,,,,,,
ychH,+,1258014,1258292,,,,,,,,,
dauA,-,1258347,1260026,,,,,,,,,
prs,-,1260151,1261098,,,,,,,,,
ispE,-,1261249,1262100,,,,,,,,,
lolB,-,1262100,1262723,,,,,,,,,
hemA,+,1262937,1264193,,,,,,,,,
prfA,+,1264235,1265317,,,,,,,,,
prmC,+,1265317,1266150,,,,,,,,,
ychQ,+,1266147,1266539,,,,,,,,,
ychA,+,1266543,1267352,,,,,,,,,
kdsA,+,1267388,1268242,,,,,,,,,
ldrA,-,1268391,1268498,,,,,,,,,
rdlA,+,1268546,1268612,,,,,,,,,
ldrB,-,1268926,1269033,,,,,,,,,
rdlB,+,1269081,1269146,,,,,,,,,
ldrC,-,1269461,1269568,,,,,,,,,
rdlC,+,1269616,1269683,,,,,,,,,
chaA,-,1269972,1271072,,,,,,,,,
chaB,+,1271342,1271572,,,,,,,,,
chaC,+,1271709,1272425,,,,,,,,,
ychN,-,1272469,1272822,,,,,,,,,
ychO,+,1273148,1274401,,,,,,,,,
narL,-,1274402,1275052,,,,,,,,,
narX,-,1275045,1276841,,,,,,,,,
narK,+,1277180,1278571,,,,,,,,,
narG,+,1279087,1282830,,,,,,,,,
narH,+,1282827,1284365,,,,,,,,,
narJ,+,1284362,1285072,,,,,,,,,
narI,+,1285072,1285749,,,,,,,,,
ychS,+,1285932,1286207,,,,,,,,,
rttR,-,1286289,1286459,,,,,,,,,
tpr,-,1286310,1286411,,,,,,,,,
tyrV,-,1286467,1286551,,,,,,,,,
tyrT,-,1286761,1286845,,,,,,,,,
purU,-,1287005,1287847,,,,,,,,,
ychJ,-,1287897,1288355,,,,,,,,,
rssA,+,1288429,1289373,,,,,,,,,
rssB,+,1289465,1290478,,,,,,,,,
galU,+,1290680,1291588,,,,,,,,,
hns,-,1291732,1292145,,,,,,,,,
tdk,+,1292750,1293367,,,,,,,,,
adhE,-,1294669,1297344,,,,,,,,,
ychE,+,1297821,1298468,,,,,,,,,
G0-10697,+,1298697,1298951,,,,,,,,,
oppA,+,1299206,1300837,,,,,,,,,
oppB,+,1300923,1301843,,,,,,,,,
oppC,+,1301858,1302766,,,,,,,,,
oppD,+,1302778,1303791,,,,,,,,,
oppF,+,1303788,1304792,,,,,,,,,
yciU,-,1304845,1305174,,,,,,,,,
clsA,-,1305209,1306669,,,,,,,,,
yciY,+,1306812,1306985,,,,,,,,,
kch,-,1307040,1308293,,,,,,,,,
yciI,-,1308593,1308889,,,,,,,,,
tonB,+,1309113,1309832,,,,,,,,,
yciA,-,1309872,1310270,,,,,,,,,
yciB,-,1310375,1310914,,,,,,,,,
yciC,-,1310944,1311687,,,,,,,,,
ompW,+,1312044,1312682,,,,,,,,,
yciE,-,1312742,1313248,,,,,,,,,
yciF,-,1313294,1313794,,,,,,,,,
yciG,-,1313880,1314059,,,,,,,,,
trpA,-,1314440,1315246,,,,,,,,,
trpB,-,1315246,1316439,,,,,,,,,
trpC,-,1316451,1317809,,,,,,,,,
trpD,-,1317813,1319408,,,,,,,,,
trpE,-,1319408,1320970,,,,,,,,,
trpL,-,1321062,1321106,,,,,,,,,
